appartement;studio;maison;chambre;nb_photo;prix;nb_pieces;nb_chambres;surface;distance_station_0;distance_station_1;distance_station_2;Cathédrale Notre-Dame de Paris;Basilique du Sacré-Cœur de Montmartre;Musée du Louvre;Tour Eiffel;Centre Pompidou;Musée d’Orsay;Cité des sciences et de l’industrie;Chapelle Notre-Dame de la Médaille miraculeuse;Grand site du Jardin des plantes;Arc de triomphe;Grand Palais;distance_université_plus_près;arrondissement
0;1;0;0;6;295000;1;0;23;105.269307790656;168.208263716787;436.985037599679;730.71439757849;4508.61860424843;1959.31926981653;4522.87696824317;1523.90742123389;2462.48195739664;5983.33740285256;2303.04365326814;92.222580725183;5239.47706138694;3722.22684948429;710.401606152665;0
1;0;0;0;3;390000;2;1;35;144.805755435102;354.276898332223;866.52676574812;4397.91906434439;1418.01521028981;3223.72236936349;3998.38377496525;3753.91086687347;3194.69070230478;4762.869076371;4198.8889740665;5141.7772699156;2673.74846849161;2634.06202257119;3912.59200212454;1
0;0;0;1;10;95000;1;1;8;243.446275566966;295.979729237416;811.634208674313;4037.02956330461;1249.46554289597;2866.53934740185;3825.57373754762;3396.28944504995;2865.87814903171;4670.72613804414;3882.33756761484;4781.1571870315;2626.57972770758;2394.58321006275;3800.09141056961;1
0;0;0;1;4;91000;1;1;8;460.43103223427;490.691911162314;546.136449052093;3707.49345678538;4935.20063351364;2971.57575418638;684.794173321713;3978.85942143166;2135.17298103205;8044.02056317785;1741.23894901388;3976.49518879113;2333.26553736744;1739.48838875163;1383.56885312478;0
0;1;0;0;12;240000;1;0;18;236.504630242031;376.163305417756;618.011030448093;3986.7606135654;403.396688782584;2977.8274864126;4573.54823776368;3224.87348463936;3220.33615393045;3777.92938193467;4265.30904451399;4740.46732005329;3500.25389755394;3057.77479237636;4078.40530946957;1
1;0;0;0;10;1640000;5;2;133;218.505603691813;431.148349507899;542.886751810719;1946.5151954419;4484.1132416398;2961.53370388754;6038.72204201024;1951.68822650313;3739.05668152508;4819.6032781396;3937.78880695406;1895.28513693374;6399.04291154178;4931.74718799745;2474.81132749678;0
1;0;0;0;6;595000;3;2;48;191.828610017095;516.370896536282;714.656834537161;2094.79860069014;4795.51027904524;3180.94523670665;6201.73798289755;2201.25690017015;3932.9947968677;5082.48517767716;4060.18299367705;1929.2957951891;6627.42501325413;5146.13633296324;2260.56585504262;1
1;0;0;0;5;575000;2;1;59;343.746668937371;582.919164931132;897.115316300158;1736.42714936401;4755.61731273866;2894.44697026608;5833.95404338958;1983.33485641685;3605.83851316977;5335.86037406722;3664.16379207493;1496.74658293491;6338.23903821028;4840.38546730526;2116.94133080625;1
1;0;0;0;11;425000;2;1;38;240.535874755161;573.310918678341;692.049441874213;1858.17393822742;5632.99125418518;2867.64659668198;4651.40632761177;2715.50594486132;3079.22411358668;7216.87257815913;2476.54347172272;1169.41351225206;5721.67386128159;4255.01048343471;1228.8895130446;1
1;0;0;0;6;650000;2;1;47;42.7165272648776;370.594150913695;313.151777216641;3472.189843614;1372.31793827715;2278.38280730076;3422.94610146867;2876.23484660584;2270.00209088306;4777.11632895785;3293.87541335668;4209.59667308984;2456.24842091446;1914.09395993985;3372.19938260197;0
1;0;0;0;10;1550000;3;1;88;274.941475501167;398.709744417725;474.859043731775;2905.4780518077;2348.40707199261;1645.1415297304;2443.64466954869;2554.9807392828;1305.40877600342;5583.45659972117;2263.70481398978;3576.42289028195;1959.49789595473;878.035057563005;2606.57656125427;0
